Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"log212! = 28.8355. What is the minimum number of comparisons needed to sort 12 items?
", , ,"30
", , ,"Week 5a slide 8
",
"Given a Linked List, what is the purpose of the following method, if the method call is doesSomething(head):public void doesSomething(Node node) {if(node== null)return;doesSomething(node.next);System.out.println(node.value);}
", , , , ," To output the value of each node in the linked list, from last to first
","The function recursively traverses the linked list from front to back and once it reaches the end the recursion unwinds and the node values are output starting from the back to the front.
",
"The following text describes a type of tree traversal: - Process current node - Process nodes in the left sub-tree - Process nodes in the right sub-treeWhich of the following traversals does the above describe?
", ,"Pre-Order Traversal.
", , , ,"Below is example code for printing out the data in all the nodes in a tree using the pre-order traversal:void preOrder(Node current) { if (current == null) { return; } System.out.println(current.data); //This is recursive so all the nodes in the left sub-tree will be processed first preOrder(current.left); preOrder(current.right);}
",
"What is the output of the pre-order traversal of the AVL tree which started empty and had the following elements inserted in this order:6, 43, 11, 23, 9, 15
", ,"11, 6, 9, 23, 15, 43
", , , ,"6 is entered, balanced43 is entered, balanced11 is entered, unbalanced --> LL rotate, now balanced23 is entered, balanced9 is entered, balanced15 is entered, unbalanced --> R rotate on '43' subtree, now balancedPre-order traversal as described in 2019 Lecture 13
",
"A graph in which all edges go from one vertex to another in a specific direction is known as what?
", , ,"Directed Graph
", , ,"Directed graph is just what is it called (See 2019 Lecture 17)
",
"Finish the name of this module:Data Structures and _____
", , , ,"Algorithms
", ,"While C is factually accurate, D is the correct answer because the name of this course is Data Structures and Algorithms.
","samuelth (sth35)
"
"Finish the name of this module:Data Structures and _____
", , , ,"Algorithms
", ,"While C is factually accurate, D is the correct answer because the name of this course is Data Structures and Algorithms.
","samuelth (sth35)
"
"In a hash table with 600 slots, after how many insertions is there likely to be (i.e. with probability 0.5 or greater) a collision?
", , , ,"29
", ,"The explanation for this is alongside the Birthday Paradox (2019 Week 10b - slide 12). A collision is likely after approximately (3.s.f). Therefore 29 insertions are necessary.
",
"Do hash tables that use a prime number of buckets always increase distribution and reduce collisions, explain why?
", , ,"Prime numbers can sometimes improve distributions and reduce collisions depending on the distribution of the input values. If uniformly distributed, primes numbers will have very little effect. On a skewed distribution, the prime numbers can help since you're significantly reducing the no. of common factors.
", , ,,"marcus (mzzt20)
"
"Insert 28, 29, 16, 9, 34, 8, 20 in order into an empty AVL Tree. What are the leaf nodes after rebalancing to satisfy the AVL Condition?
","8, 20, 34
", , , , ,"Add into the tree as normal (smaller than goes left, larger than goes right).The rebalancing problem comes once we add 8 to the tree, where the node (16) becomes unbalanced. Perform a single left rotation on the node and finally add 20.The leaves are 8, 20 and 34.
",
"What is the minimum number of comparisons required to sort any permutation of 7 integers?
", , ,"13
", , ,"It has been proven that the smallest number of comparisons is 13 for 7 objects. This is done by merge sorting 5 items and adding 1 then adding 1 again.
",
"What is the worst case scenario for finding an element in a singly linked list of size n?
", , , , ," n
","The worst case scenario is n as a singly linked list can only be traversed in one direction. This means that starting at the head the worst node to find is the last node as all n nodes must be compared.
",
"What is the difference between a singly linked list and a skip list?
", ,"A skip list has multiple lanes to allow for faster searching.
", , , ,"A skip list contains multiple lanes, a slow lane containing all of the nodes stored in a singly linked list way as well as faster lanes that have less elements in them to allow for faster searching.
",
"You've just started work at a long standing Technology company and your first project is to update old legacy data structures. You are given a closed hash tablewith linear probing containing identification numbers that is no longer being used, but is going to be archived due to its sensitive nature.You are tasked to copy this data into an array for archiving, but first the Load factor needs to be calculated.The closed hash table has 10,000 keys stored in it and you are told any item can be accessed in 3 steps on average. What is the Load Factor?
", , ,"0.8
", , ,"The Load Factor is defined as:L = (Max number of keys)/(Total number or buckets).The average number of steps to find an item in a closed hash table with linear probing is given by .Setting this equation to equal to 3 gives a Load Factor of 0.8.
",
"During this course a number of data structures have been taught. Generally these structures have worst case space complexity of O(n), with a single exception. One taught data structure has worst case space complexity O(n log(n)). Which of the taught data structures represents this exception?
", , , , ," Skip List
","A skip list has n elements and logn layers. In the worst case each element exists in each layer, so space complexity is O(nlogn).
",
"You wish to use open hashing (where each array slot contains a pointer to a linked list). The hash function has the form h(x) = x % 6 and the hash table has slots 0, ... , 5. If you insert the elements 5, 6, 7, 9, 15, 21, 22, 61 in that order, what is the minimum list length at the end?
","0
", , , , ,"For the elements5, 6, 7, 9, 15, 21, 22, 61 the open hash table will look like:0: 61: 7 612:3: 915214: 225: 5the 2 slot points to no values hence minimum list length is 0.
",
"An algorithm has runtime T(n) = 0.00149n14+ 100n2+ 48nlog(n) for input of size n. What is the asymptotic time complexity of this algorithm?
", , ,"
", , ,"Leading term is ,hence its asymptotic upper bound cannot be anything less than .Therefore A,B,D are incorrect. D is correct since this is an upper bound (but not exact bound) to T(n).
",
"In the context of an AVL Tree, AVL stands for:
", ,"Adelson-Velskii and Landis
", , , ,"B is the correct answers.AVL trees were named after two Soviet computer-scientists:Georgy Maximovich Adelson-Velsky andEvgenii Landis..
",
"Imagine you are a software engineer a Honda. Your boss asks you to implement a probabilistic skip list in Java with the probability of a new node being added to each lane decreasing by a factor of 0.5 for each lane as the lane number increases. However, due to lack of server space, she says that you may not use any arrays of size greater than 10 when defining the set of pointers for each node. Roughly how many items can this skip list hold before it can no longer be considered binary search when searching for nodes?
", , , ,"1024
", ,"Week3b-TFLinkedlistsedit. Each node can only have 10 pointers, therefore there can only be 10 lanes (0-9). The 9th lane can skip 29(512)nodes. Therefore, for lists of size greater than 1024, the 9th lane will skip less than half of the nodes and is no longer binary search.
",
"What is one disadvantage of using a Hash Table with a small load L?(say, for L < 0.2)
", , , ,"A lot of memory is wasted.
", ,"See 2019 Lecture ""Week10b - HashtablesAll""
",
"Consider average time complexity for each search algorithm.Select the only true statement.
", , , ,"Array List search is faster than Linked List search, with Array List O(1) and Linked List O(n)
", ,"ArrayList search is O(1) because it can access the i'th element in the array in constant time.Linked List search is O(n) because it must check each item from the beginning, and traverse the list element by element until it finds a match. Hence on average it will be doing n/2 comparisons which is O(n).
",
"Suppose I have a Close Hash Table with load L, and it takes me on average 1.15 steps to find an item in the table. What is the value of L (to 2 sig.fig.) ?
", , ,"0.23
", , ,"The average number of steps needed to find an item for a Closed Hash Table with load L is:# of steps =1/2(1 + 1/(1-L))Setting the above equation equal to 1.15 and rearranging, gives us L = 0.23.2019 Lecture ""Week10b""
",
"Two main measures for the efficiency of an algorithm are_________________
", ,"Time and Space
", , , ,,"hannzzz (hs975)
"
"Which of the following input Arrays makes insertion sort in ascending order perform the largest number of comparisons?
", , ,"(7,6,5,3,2,0)
", , ,,"hannzzz (hs975)
"
"Consider the following doubly linked list:HEAD - one - two - three - four - five - TAILwhere one is a Node object with integer value 1, prev = HEAD, next = two. This object type is similar for the remaining nodes.What will the list be after performing the following operations:Node temp = New Node(value=7, prev=one, next=three)one.next = temp;three.prev = temp;
", , ,"HEAD - one - temp - three - four - five - TAIL
", , ,"The temp node is made with forward pointer to node three, and prev pointer to node one.one.next is updated to temp, hence 2 has been removed.three.prev is updated to temp, which removes the backwards pointer to the node two.
",
"An application for a supermarket checkout needs to store products with their serial numbers, and the application must be able to quickly find the product linked to the serial number which has been scanned by the cashier.Should the serial number of the product change, the application should also be able to quickly change the serial number associated with the relevant product. Which of the following data structures would be most appropriate to store the products and serial numbers in memory?
", ,"Open hashtable
", , , ,"Open hashtable is the preferred ADT as they are the most efficient in searching/editing key value pairs.
",
"Which of these is correct for the BEST time complexity for the following Algorithms?
", , ,"Insertion Sort: T(n)Selection Sort: T(n^2)Bubble Sort: T(n)Quick Sort: T(n log n)Merge Sort: T(n log n)
", , ,,"hannzzz (hs975)
"
"What is the Post-Order Traversal of the tree: 20 / \ 10 28 / \ 5 18 \ 19
", ,"[5,19,18,10,28,20]
", , , ,,"ath36 (ath36)
"
"Using open hashing with ahash function of the form h(x) = x % 7 and a hash table with slots 0, …,6, if you insert the elements 15, 7, 22, 8, 19, 31, 30, 29, 40, 81 in that order, what is the maximum list length at the end?
", , , ,"4
", ,"The hash table would look as following:0: 7, 811: 15, 22, 8, 292: 303: 314:5: 19, 406:
",
"What is the recurrence relation for worst case QuickSort, and what is the time complexity in this case?
", , , , ," Recurrence: T(n) = T(n-1) + O(n)Time Complexity: O(n^2)
","In the worst case, QuickSort will have pivots that are the smallest or largest element in the list. In this case, we first sort the list around the pivot which is O(n), and then perform Quicksort on the remainder of the list which is T(n-1).This yields the recurrence relation: T(n) = T(n-1) + O(n).As for complexity, the average case is O(nlogn), however the worst case is O(n^2), which is answer E.
",
"A quadratic time algorithm uses 70 elementary operations to process an input of size 20. What is the predicted number of elementary operations it will use for an input of size 200?
", ,"7000
", , , ,"The input size has increased by a factor of 10. Since it is a quadratic function, the number of elementary operations will increase by a factor of 10^2.
",
"Consider the following hypothetical situation:You have a sorting algorithm which uses quicksort 50% of the time, and insertion sort 50% of the time, on average. n input lists arrive such a given list is already completely sorted with probability x, and the rest are random.Give an equality for x in terms of n for when this approach will be quicker than always using Selection sortYou may refer to the below:(Note that because of the hypothetical nature of the question, the answer may seem counter-intuitive, but will make mathematical sense)
", , ,"
", , ,"The average runtime for our method considering the different cases where the list is/isn't sorted is:We want to find where this is less than selection sort, which is expanding and multiplying by two, we have:so our final answer is:
",
"You work for Spotazon music, and have been asked to implement a data structure to store music playlists. Users will want to be able to easily add/remove tracks from any point in the playlist, and they should be able to skip forward/skip backwards a track. Your brief is to use a data structure that will maximise the speed of these functions. Which of the following data structures would be most appropriate.
", , ,"Doubly-Linked List
", , ,"The doubly linked list has forward and back pointers, so the speed of traversing the tracks in either direction will be optimal. Furthermore, inserting/deleting to a specified point is fast (THETA(n)) [see Week 3b-TFLinkedListsedit on moodle].
",
"You use a standard closed hashtable with linear probing (to the right, i.e. in the direction of higher indices). The hash function has the form h(x) = x % 7 and the hash table has slots 0, … , 6. If you insert the elements 18,19,25,701,77,74,y in that order, where y is an unknown integer, what does the hashtable look like at the end?a) 77,701,74,y,18,19,25b) 77,25,701,y,18,19,74c) 77,701,y,19,18,25,74d) 77,18,19,701,25,74,ye) None of the above are correct
","77,701,74,y,18,19,25
", , , , ,"Standard hastable theory using Linear Probing. The unknown integer y makes no difference and goes in the only slot available, as it is at the end.
",
"Consider the following two lists:List X: List of integers from 1 to 100 (inclusive) in ascending orderList Y: Random permutation of list XWhich of the statements A-D is FALSE (on average)?
", , , ,"Quicksort will sort list Y faster than Insertion sort will sort list X
", ,"A) True because nlogn < n2B) True because n < n2C) True because n < n2D) False because nlogn > n
",
"Which of the following algorithms has the lowest complexity class
", , ,"k = n;while (k > 1){ sum++; k = k/2;}
", , ,"Recall the order of complexities is as followsConstant: 1, Logarithmic: log(n), Log-squared: =log^2(n),Square root: sqrt(n),Linear: n, n log(n), Quadratic: n^2, Cubic: n^3...A has complexity n log(n)B has complexity n^3C has complexity log(n)QuickSort's complexity is n^2MergeSort's complexity is n log(n)Therefore the fastest algorithm is C
",
"What are the steps taken to complete a Radix Sort on a list of integers?
", ,"Assume the key is a d-digit number, with d? {0, ..., k-1}. Complete a counting sort on the individual values that share the least significant position, and then continue to the next least-significant digit to complete a stable counting sort and so on.
", , , ,,"jrb93@bath.ac.uk (jrb93)
"
"What is the runtime of the following code?for (int i=0; i < N; ++i) { for (int j=0; j < M/2; j=j*2) { System.out.println(j); if (i%2 == 0) { for (int k=0; k < 2*N; ++k) { System.out.println(i + "" is even""); } } }}
","
", , , , ,"The outermost loop undergoes O(N) iterations.The second loop undergoes iterates up to O(M), but increases logarithmically (thanks to the j=j*2) rather than linearly. Hence, this loop undergoes O(log(M)) iterations.Finally, the innermost loop undergoes O(N) iterations. The fact that this loop only executes for odd values of j is not relevant to the big theta approximation.Therefore, the overall runtime is that of answer A.
",
"Given the following numbers: 6,2,18,34,13,14.When constructing a perfectly balancedbinary search tree from the numbers in that order, which number is its root?
", , ,"13
", , ,,"tm694 (tm694)
"
"Selection Sort runs for 5 seconds for 100 records. How likely is it likely to run for 10,000 records?
", , , ,"50,000 seconds
", ,,"tm694 (tm694)
"
"Below is an incomplete code for the class LinkedList.Method 'Get' finds the ith element in the linked list. Which code must go at 'X' for the code to work.public Object get(int i){ if (i<0 || i>=n) { return error; } ListNode node = head; Xreturn node.element;}
", , ,"for (int j=0; j<i; j++){node = node.next;}
", , ,,"tm694 (tm694)
"
"You have to insert the element ""20"" in this skip list, p = 0.5, max lanes = 5:Which one of the following statements are true?
","The new element must point to ""30"" for each lane it exists on, apart from the lanes ""30"" doesn't exist on.
", , , , ,"""20"" goes before ""30"", therefore must point to ""30"" when it is inserted. The lanes can't ""skip over"" elements in the same lane, therefore every instance of ""20"" will point to a ""30"" on it's lane.This question is intended to be of high difficulty.Source: 2019, Week 3b, Slide 14-17
",
"Below is an example graph. Which of the following adjacency matrices represent this graph?
", , ,"
", , ,"See Moodle resource 'DA-Lecture17-Graphs1 TF 2019sem' for explanation on representing a graph as an adjacency matrix.
",
"What is the result of shell sorting the data set below with a gap size of 3.56 21 30 43 98 23
", ,"43 21 23 56 98 30
", , , ,"56 21 30 43 98 23 Original List43 21 30 56 98 23 Compare 56 and 43, and swap.43 21 30 56 98 23 Compare 21 and 98, no change.43 21 23 56 98 30 Compare 30 and 23, and swap.Then iterate once more through the list and no changes are made.
",
"Which of the following is TRUE?
", , ,"It is not always possible to make a Big Theta (?) statement about an algorithm
", , ,,"jj743 (jj743)
"
"What is the correct in order traversal of this Binary tree?
", ,"abcde
", , , ,,"ja853 (ja853)
"
"Using Dijkstra's algorithm, starting at node S, state the order of nodestraversed before reaching the node B.
", , ,"S, A, E, C, D, F, B
", , ,"Dijkstra's algorithm will find the shortest path to an available node and take it, it will repeat this process until it has checked all possible paths and reached the destination.1. Starting at S we move to A is it is shorter Node: Distance A: 2 E: 3 C: 4 D: 5 F: 6 B: 7
",
"Below is an example binary tree. What is the pre-order traversal of this tree?
", , ,"21, 16, 2, 1, 11, 5, 13, 45, 22, 44, 23, 50, 48
", , ,"Option A is post-order traversal (left, right, centre)Option B is in-order traversal (left, centre, right)Option C is pre-order traversal (center, left, right)Option D is level order traversal (traverse each node on current level then go down a level)Source: Moodle - Week7b-Trees1 (powerpoint)
",
"Which statement about linked lists and arrays is TRUE?
", ,"It is faster to search for an item in the middle of an array than a linked list.
", , , ,"Why option B is true:When searching for an item in the middle of an array, it can be found in one step by specifying the index of the element. However for a linked list each node from the head must be passed through to reach the target node.Why options A and D are false:When inserting or removing an element from an array, other elements must be shifted appropriately. Whereas for a linked list only the pointers of adjacent nodes need to be changed.Why option C is false:An array allocates space at compile time (static memory allocation) and a linked list allocated space at run time (dynamic memory allocation).Source:Moodle -Week3b-TFLinkedlistseditFile Slide 13 -https://moodle.bath.ac.uk/pluginfile.php/1430761/mod_resource/content/0/2019_TFLinkedlistsedit.pdf
",
"Consider a closed hash table with 150 buckets storing 100 items.On average, how many steps of linear probing would it take to find an item?
", ,"2
", , , ,"Load factor (L) = Number of items / Number of bucketsL = 100 / 150 = 2 / 3Average # of steps to find = 1/2 (1 + 1/(1-L))= 2
",
"The list of numbers {10, 36, 27 22, 4} is to be stored as an AVL Tree.Which numbers, will be the leaves (subtrees with no children) of the left subtree from the root when the tree is balanced?
", , , , ," 4, 22
","10:10 is inserted as the rootcurrent height = 0, no need for balancing36:36 > 10, 36 is inserted to the right of the rootcurrent height = 1, no need for balancing27:27 > 10, 27 < 36, 27 is inserted to the left of 36current height = 2, balancing requiredBalancing:Current tree: 10 36 27The tree is unbalanced, apply right-left rotation: 2710 3622:22 < 27, 22 > 10, 22 is inserted to the right of 10current height = -1, no need for balancing4:4 < 27, 4 < 10, 4 is inserted to the left of 10current height = -1, no need for balancingThe final tree is: 27 10 36 4 22Therefore the leaves are 4 and 22 for the left subtree
",
"The following integers are inserted into an empty ALV Tree in the following order: 4, 8, 15, 16, 23, 42. The tree puts the greater integers on the right, and smaller ones on the left e.g 8 would be somewhere to the right of 4. The tree is kept balanced after each insertion. Each node of the tree is then printed using pre-order traversal separated by commas. Nothing is printed if a null node is encountered using this method. Which of the following is the correct output produced?
", ,"16,8,4,15,23,42
", , , ,"Explanations can be found in: Week7b-Trees1 and Week8b-Trees3. Pre-order traversal prints the current node, then the left, then the right. I will run through is problem step by step after each insertion and show what would be printed using pre-order traversal at each. 4: Output: 4. 8: Output: 4,8. 15: Tree is now unbalanced at 4, so the tree rotates left with 4 as the pivot. Output: 8,4,15. 16: Tree is still balanced. Output: 8,4,15,16. 23: Tree is unbalanced at 15, so the tree rotates left with 15 as the pivot. Output: 8,4,16,15,23. 42: Tree is now unbalanced at 8, so the tree rotates left with 8 as the pivot. Output: 16,8,4,15,23,42.
",
"Correct assigments of big O notation forTheta, Omega, Oare:
", , ,"Exact, Worst, Best
", , ,"2019 Week2b-Powerpoint slide5Theta = exactOmega = bestO = worst
",
"Which of the following sorting algorithms does shellsort make use of?
", , ,"h-sort
", , ,,"sw2229 (sw2229)
"
"Which of the following is true for all binary trees?
","Every node has at most 2 children
", , , , ,,"sw2229 (sw2229)
"
"What are the 2 main types of graph traversal?
", ,"Breadth-first, depth-first
", , , ,,"sw2229 (sw2229)
"
"What can't/shouldn't you do with closed hashtables?
", , ,"Remove items
", , ,,"duncrtr (djc71)
"
"What is an advantage of Heap Sort over Merge Sort?
", , ,"It is an in-place sort
", , ,,"duncrtr (djc71)
"
"What is the Big-Theta of this code:void myProgram (int a, int b, int c){ for(int i=0; i<a*a; i++){ for(int j=0; j<b; j++){ if(j==b/2){ for(int k=0; k<c; k++){ System.out.println(""TRUE""); } } else { System.out.println(""FALSE""); } } }}
", , , ,"
", ,"Week 2b Slide 23.
",
"Which three of the following sorting algorithms are stable?:Selection sort,Insertion sort,Bubble sort,Shell sort,Quick sort,Merge sort,Heap sort.
", , , , ," Insertion sort,Bubble sort,Merge sort.
","See slide 24 of D&A-Revision2.pdf on Moodle
",
"Two functions have respective time complexities defined by:where log is of base-2.For what value of n does g become faster than f?
", ,"n=107
", , , ,,
"Consider the following tree:What would be the result of printing the values of each node via POST-ORDER traversal?
", , ,"D G H E B F C A
", , ,"Post-order traversal applies the following procedure to each node it arrives at, starting from the root node:1: Recursively traverse left sub-tree2: Recursively traverse right sub-tree3: Read/print current node
",
"Which of the following code snippets would correctly remove the nthelement, n, of a doubly-linked list?
", , ,"n.prev.next = n.next;n.next.prev = n.prev;
", , ,"The first line will ensure the previous node now skips over node n and points forward straight to the next node after it.The second line ensures the next node after n now points backwards to the previous node (again, skipping over n).
",
"Which of the following sorting algorithm is stable and has average time complexity of nlog(n)
", , ,"Merge
", , ,"Week 7a 2019 slide 5
",
"Assume that we have a perfect skip list (as described in 2019 coursework 2 Q3... ""every element is linked to the next, even numbered elements are also linked to the one 2 ahead, elements whose number is divisible by 4 are also linked to the one 4 ahead, and so on by powers of 2."").The skip list contains 32768 elements. How many elements have at least 11 lanes?
", ,"31
", , , ,"The number of elements with n lanes is given by:So for at least 11 lanes we need to find the number of elements with 11,12,13,14 and 15 lanes.
",
"A binary tree has a depth of 6, it is full on all levels except for the bottom. The bottom level contains 4 nodes, how many nodes are there in the tree?
", , ,"67
", , ,"For simplicity, find the amount of nodes in the tree for all levels excluding the bottom one. This gives a complete tree with a depth of 5. The tree has 2^(5+1) - 1 = 63 nodes (from the formula on slide 11 of Week7b 2019). We simply add the 4 from the bottom level to get 63 + 4 = 67 nodes in total.
",
"Which of the following statements are true?
", , ,"When adding a value to an Open Hash Table the current index is already in use the algorithm will add it to the end of a linked list associated with that index.
", , ,"an open hash table uses linked lists to solve collisions by adding each item to the end of the linked list.options A) and B) are not features of Hash Tablesoption D) describes removing in a closed Hash Table
",
"What is the time complexity of the following extract of code?System.out.println(""Hello world"");for(int i = 0; i < n; i++){ System.out.println(""Test"");}for(int j = 0; j < n; j++){ System.out.println(""Test"");}
", ,"O(n)
", , , ,"2019 Week1b-Powerpointv2
",
"which of the following defines Big-O notation where g(n) = O(f(n))?
","? c>0 n0>0 | ?n>n0 : g(n) = c f(n)
", , , , ,,"lm2062 (lm2062)
"
"Which one of the following data structures has the average search time complexity ofT(1)?
", , , , ," Hash Table
","2019 Lecture 10b, slide 42
",
"If we cube the adjacency matrix of a directed graph, what should happen?
", , ,"The resulting matrix should show all the matrices that are 3 arcs apart from each other.
", , ,"If the graph had the adjacency matrix of an identity matrix, all points would point at themselves, so it wouldn't be directed and it wouldn't be a graph. However, as the adjacency matrix shows all the nodes that can be reached by an arc, cubing the graph has the property of showing the nodes that can be reached by 3 arcs. Note that not all arcs have to be of unit length, so E is discounted, and as this is a directed graph, then not all combinations of length 1 can be returned to. Sorry for the slightly trick question :)
",
"For the following piece of Java code, select the worst case runtime from the options given.N.B. You can assume that printing a string to console takes constant time.public static void function (int N) { for (int i = 1; i < N; i++) { for (int j = 1; j < N; j = j * 2) { System.out.println(""hello world""); } }}
", , ,"O(NlogN)
", , ,"First you should notice that there are nested for loops which are both bounded by N and start at 1.The outer for loop increments by the addition of 1 to i each iteration, while the inner for loop increments by the multiplication of j by 2 each iteration.Therefore:Outer for loop: O(N) iterationsInner for loop: O(logN) iterations- Why?- If we say k is equal to the number of iterations of the inner for loop, then N = - If we take logs of both sides, we are left with k = log NMultiplying together since they are nested for loops, gives you the following answer:O(NlogN)
",
"What option has the correct definitions of each of the following:leafComplete (Full) Binary treeBinary tree
", , ,"leaf - A node with 0 childrenComplete (Full) Binary tree - Every leaf node has the same depth, Every non-leaf has exactly two childrenBinary tree - A tree where every node has at most two children
", , ,"leaf - A node with 0 childrenComplete (Full) Binary tree - Every leaf node has the same depth, Every non-leaf has exactly two childrenBinary tree - A tree where every node has at most two children
",
"which of these options is in the order of:pre-order TraversalIn-order TraversalPost-order Traversal
", , , ,"1. Process the current node2. Process the nodes in the left sub-tree3. process the nodes in the right sub-tree1. Process the nodes in the left sub-tree2. Process the Current node3. Process the nodes in the right sub-tree1. Process the nodes in the left sub-tree2. Process the nodes in the right sub-tree3. Process the current node
", ,"Pre-order Traversal1. Process the current node2. Process the nodes in the left sub-tree3. process the nodes in the right sub-treeIn-order Traversal1. Process the nodes in the left sub-tree2. Process the Current node3. Process the nodes in the right sub-treePost-order Traversal1. Process the nodes in the left sub-tree2. Process the nodes in the right sub-tree3. Process the current node
",
"Order the following Big O runtimes from largest to smallest:O(log n), O(1), O(n log n), O(n), O(), O()
", , , ,"O(), O(), O(n log n), O(n), O(log n), O(1)
", ,"Take care to read the question carefully:Order the following Big O runtimes from largest to smallest.>> n log n > n > log n > 1
",
"If the closed hash table with linear probing has a load factor of 0.30, what is the average number of steps to insert/find an item.
", , ,"~1.21
", , ,"For a closed Hash table with linear probingAverage number of steps = 1/2(1+1/(1-L)) for L < 1.0(1-L) - % empty spacefor a open hash tableAverage number of steps = 1 + L/2
",
"What is the correct recurrence relation for merge sort (when N, the number of elements of the list being sorted, is greater than 1 and a positive power of 2 for simplicity)?
", , ,"T(N) = 2T(N/2) + O(N)
", , ,"If the length of the list, N, is equal to 1, then the list is sorted so merge sort just returns the list: T(1) = O(1) (this is the base case).Otherwise, merge sort splits the list into two equal halves (since the number of elements is a positive power of 2) and then recursively sorts each half: 2 * T(N/2)Then the two sorted halves are merged where the runtime of the merge operation is O(N) where N is the number of elements being merged.Therefore the correct answer is: T(N) = 2T(N/2) + O(N)
",
"What is the best, average and worst case complexity of selection sort?
","
", , , , ,"2019 Week 7a Slide 5
",
"Perform 1 pass of h-sort on the following array taking h to be 4.1D array = 31, 6, 4, 21, 12, 84, 19, 62, 4, 11, 1, 91Output will be?
","12, 6, 4, 21, 4, 11, 1, 62, 31, 84, 19, 91
", , , , ,,"rgw28 (rgw28)
"
"What is the formal definition of 'Big-Omega' , for a positive function f(n)?
","A function g(n) equalsO(f(n)) if and only if there are constants c>0 and n0>0 so that for all n>n0, g(n)= cf(n).
", , , , ,"See 2019 Week2b Powerpoint Slide 5 for formal definitions.
",
"Assume you are deleting an element (called 'node') from the middle of a doubly-linked list equipped with prev and next references. Which of the following lines of code would correctly delete the element in the list?
", , ,"node.prev.next = node.next; node.next.prev = node.prev;
", , ,"As the node is in the middle of the list, two references have to be reassigned; the next reference from the previous element and the prev reference from the next element.The references of the node in question do not have to be reassigned, as the node is no longer going to be accessed.See: 2019 Week3b Linked Lists Slides.
",
"Three types of search that we can use to find an element in an ordered set of data are binary search, interpolation search and linear search. What are their complexities?
", , ,"Binary Search is ?(log(n)), Interpolation Search is ?(log(log(n))), Linear Search is ?(n)
", , ,"See slides 5-10 in lecture week2a.
",
"I add the following numbers to a Binary Search Tree in this order: 13, 5, 19, 8, 7, 16, 18, 12, 17What is the depth of the tree? What is the minimum number of nodes I would need to add to make it complete?
", , , , ," depth:4, nodes:22
","The depth is 4. The number of total nodes in a complete tree of depth d is 2^(d+1)-1, which in this case is 31. As we already have 9 nodes on the tree, we have to add another 22.
",
"Which of the following algorithms is stable?
","Merge sort
", , , , ,"A stable algorithm is one where keys of the same value remain in the same order after sorting.
",
"Given the AVL tree:When the value of 12 is inserted, which rotation is required in order to balance the tree?
", , , ,"Right-left rotation
", ,"The value of 12 is initially inserted into the tree as the left node of 14, meaning the tree is unbalanced.Then, traversing the tree from the node that was inserted, updating the heights and checking balance factors, it is found at value 11, it is not balanced. Therefore, a rotation of some kind needs to take place.Since the since the right node of 11 has the value on its left, a right rotation must occur. However, once this is complete the tree is still unbalanced, so a left rotation must occur.
",
"The following is code for a Node for a particular ADT. Which ADT is it?class Node{ public Object element; public Node[ ] next; public Node(Object o){ element = o; next = new Node[5]; }}
", , , ,"Skip List with 5 lanes
", ,"In a skip list, there are different lanes; hence the 'next' property is an array of nodes rather than just one node, as the ith node in the array follows from the current node in the ith lane. Binary Search Trees and AVL Trees also point to multiple nodes, but these are commonly programmed as the 'left' and 'right' properties.
",
"Using the hash function h(x) = x%5, insert the elements 31, 60, 7, 46, 73, 82, 9, 57, 23, 92, 28 into an open hash table with slots 0,...,4. Which of the following options shows the third element of the longest list after the insertions?
", , ,"57
", , ,"Using the method shown in slide 24 of the week 10b hash table powerpoint, the hash table becomes:6031, 467, 82, 57, 9273, 23, 289So the slot corresponding to 2 is the longest and its third element is 57.
",
"What is the loop invariant of insertion sort?
", , ,"The subarray A[0 to i-1] is always sorted
", , ,,"ail24 (ail24)
"
"Suppose a Binary Search Tree contains a collection of surnames. Which type of tree traversal would you use to print these names alphabetically?
", ,"In-order
", , , ,,"sw2229 (sw2229)
"
"Define Singly Linked List.
", , , , ," Each node stores a reference to the object that is the element of the sequence and a pointer to the next node only.
","A = header linked listB = multi linked listC = circular linked listD = doubly linked list
",
"What is mean by binary trees are identical?
", ,"When the binary trees are structurally identical and have same value in the nodes.
", , , ,"Tree 1 Tree 2 10 10 2 4 2 41 5 6 8 1 5 6 8
",
"Choose the correct steps of insertion sorting on the array below: 7 6 2 5 1
","6 7 2 5 12 6 7 5 12 5 6 7 11 2 5 6 7
", , , , ,"In insertion sort, it should start sorting with first 2 elements and ignore the rest. After sorted the first 2 elements, focus on the first 3 elements and sort it. Then, continue with the next elements until the last.
","min (mjt65)
"
"Choose the correct steps of insertion sorting on the array below: 7 6 2 5 1
","6 7 2 5 12 6 7 5 12 5 6 7 11 2 5 6 7
", , , , ,"In insertion sort, it should start sorting with first 2 elements and ignore the rest. After sorted the first 2 elements, focus on the first 3 elements and sort it. Then, continue with the next elements until the last.
","min (mjt65)
"
"What is the in-order traversal of the tree seen below? 8 / \ 6 9 / \ \ 2 7 15 /1
", , ,"1, 2, 6, 7, 8, 15, 9
", , ,"A shows level order traversalB shows pre-order traversalC shows in-order traversalD shows post-order traversalSlides: Week7b-Trees1 slides 15, 22, 24 & 26
",
